author,title_1
McCartney(with Lennon),"""Michelle"""
Lennon(with McCartney),"""Misery"""
Berry GordyJanie Bradford ,"""Money (That's What I Want)"" "
Percy WenrichEdward Madden ,"""Moonlight Bay"" "
McCartney,"""Mother Nature's Son"""
Roy Lee Johnson ,"""Mr. Moonlight"" "
McCartney," ""The Night Before"""
Lennon(with McCartney),"""No Reply"""
Lennon(with McCartney),"""Norwegian Wood (This Bird Has Flown)"""
Lennon,"""Not a Second Time"""
Harrison,"""Not Guilty"""
Eddie Fontaine ,"""Nothin' Shakin' (But the Leaves on the Trees)"" "
Lennon,"""Now and Then"""
Lennon(with McCartney),"""Nowhere Man"" "
McCartney," ""Ob-La-Di, Ob-La-Da"""
Starr[d],"""Octopus's Garden"""
McCartney[29],"""Oh! Darling"""
Harrison,"""Old Brown Shoe"" "
Lennon,"""One After 909"""
McCartney,"""One and One Is Two"""
Harrison,"""Only a Northern Song"""
Little Richard ,"""Ooh! My Soul"" "
McCartney," ""Paperback Writer"" "
McCartney,"""Penny Lane"" "
Harrison,"""Piggies"""
Georgia DobbinsWilliam GarrettBrian HollandRobert BatemanFreddie Gorman ,"""Please Mr. Postman"" "
Lennon,"""Please Please Me"""
Lennon,"""Polythene Pam"""
McCartney(with Lennon),"""P.S. I Love You"" "
Lennon," ""Rain"" "
Lennon,"""Real Love"" "
Lennon,"""Revolution"" "
Lennon,"""Revolution 1"""
Lennon(with Ono and Harrison),"""Revolution 9"""
"Robert Blackwell, John Marascalco (""Rip It Up”)Charles Calhoun(“Shake, Rattle, and Roll”) Carl Perkins (""Blue Suede Shoes"") ","""Rip It Up""/""Shake, Rattle, and Roll""/""Blue Suede Shoes"" "
Chuck Berry ,"""Rock and Roll Music"" "
McCartney(with Lennon),"""Rocky Raccoon"""
Chuck Berry ,"""Roll Over Beethoven"" "
Lennon(with McCartney),"""Run for Your Life"""
Harrison," ""Savoy Truffle"""
Jerry Leiber and Mike Stoller ,"""Searchin'"" "
Al DubinHarry Warren ,"""September in the Rain"" "
Lennon,"""Sexy Sadie"""
McCartney,"""Sgt. Pepper's Lonely Hearts Club Band"""
McCartney,"""Sgt. Pepper's Lonely Hearts Club Band (Reprise)"""
Lennon,"""Shakin' in the Sixties"""
McCartney,"""She Came In Through the Bathroom Window"""
LennonMcCartney,"""She Loves You"" "
Lennon,"""She Said She Said"""
"McCartney
(with Lennon) ","""She's a Woman"" "
McCartney(with Lennon),"""She's Leaving Home"""
Harry B. SmithFrancis WheelerTed Snyder ,"""The Sheik of Araby"" "
Terry Thompson ,"""A Shot of Rhythm and Blues"" "
Rudolph IsleyRonald IsleyO'Kelly Isley Jr. ,"""Shout"" "
LennonMcCartneyJean NicolasLee Montogue,"""Sie liebt dich"" (German version of ""She Loves You"")"
Larry Williams ,"""Slow Down""  "
Felice and Boudleaux Bryant ,"""So How Come (No One Loves Me)"" "
Buzz CasonTony Moon ,"""Soldier of Love (Lay Down Your Arms)"" "
Jerry Leiber and Mike StollerRichie Barrett ,"""Some Other Guy"" "
Harrison,"""Something"" "
Harrison,"""Sour Milk Sea"""
"McCartney (""Step Inside Love”)Lennon–McCartneyHarrison–Starr (""Los Paranoias”)","""Step Inside Love/Los Paranoias"""
W.C. Handy,"""St. Louis Blues"""
Lennon,"""Strawberry Fields Forever"" "
Lennon,"""Sun King"""
Carl PerkinsQuinton ClaunchBill Cantrell ,"""Sure to Fall (in Love with You)"" "
Chuck Berry ,"""Sweet Little Sixteen"" "
Gerry GoffinCarole King," ""Take Good Care of My Baby""  "
Starr,"""Taking a Trip to Carolina"""
Bobby ScottRic Marlow ,"""A Taste of Honey"" "
Harrison,"""Taxman"""
McCartney,"""Teddy Boy"""
McCartney(with Lennon),"""Tell Me What You See"""
Lennon,"""Tell Me Why"""
LennonMcCartney,"""Thank You Girl"" "
McCartney,"""That Means a Lot"""
Jerry AllisonBuddy HollyNorman Petty ,"""That'll Be the Day"" "
Arthur Crudup ,"""That’s All Right (Mama)"" "
LennonMcCartney,"""There's a Place"""
McCartney,"""Things We Said Today"" "
Harrison,"""Think for Yourself"""
Lennon,"""This Boy"" "
Jerry Leiber and Mike Stoller ,"""Three Cool Cats"" "
Lennon,"""Ticket to Ride"" "
Meredith Willson ,"""Till There Was You"" "
LennonMcCartney,"""Tip of My Tongue"""
Phil Spector ,"""To Know Her Is to Love Her"" "
Lennon,"""Tomorrow Never Knows"""
Chuck Berry ,"""Too Much Monkey Business"" "
Phil MedleyBert Berns ,"""Twist and Shout""  "
McCartney,"""Two of Us"""
McCartney," ""Wait"""
Lennonand McCartney,"""Watching Rainbows"""
McCartney(with Lennon),"""We Can Work It Out"" "
LennonMcCartneyStarr[d],"""What Goes On"" "
McCartney,"""What You're Doing"""
Lennon,"""What's the New Mary Jane"""
Lennon,"""When I Get Home"""
McCartney,"""When I'm Sixty-Four"""
Harrison,"""While My Guitar Gently Weeps"""
McCartney,"""Why Don't We Do It in the Road?"""
McCartney,"""Wild Honey Pie"""
LennonMcCartney,"""With a Little Help from My Friends"""
Harrison,"""Within You Without You"""
McCartney (as Bernard Webb),"""Woman"""
LennonMcCartney,"""The Word"""
Buddy Holly ,"""Words of Love"" "
McCartney(with Lennon)," ""Yellow Submarine"" "
Lennon,"""Yer Blues"""
Lennon,"""Yes It Is"" "
McCartney,"""Yesterday"" "
Lennon,"""You Can't Do That"" "
Lennon(with McCartney),"""You Know My Name (Look Up the Number)"" "
Harrison,"""You Know What to Do"""
Harrison,"""You Like Me Too Much"""
McCartney[39],"""You Never Give Me Your Money"""
McCartney,"""You Won't See Me"""
LennonMcCartney,"""You'll Be Mine"""
Jerry Leiber and Mike Stoller ,"""Young Blood"" "
McCartney,"""Your Mother Should Know"""
Lennon,"""You're Going to Lose That Girl"""
Jerry Leiber and Mike Stoller,"""(You're So Square) Baby I Don't Care"""
Lennon,"""You've Got to Hide Your Love Away"""
Smokey Robinson ,"""You've Really Got a Hold on Me"" "
